event_id,user_id,user_email,event_type,event_timestamp,feature,session_duration_sec,error_code
E_001,U_001,zeta@startup.io,api_call,2026-01-07 14:00,api,120,500
E_002,U_001,zeta@startup.io,api_call,2026-01-07 13:45,api,90,500
E_003,U_001,zeta@startup.io,login,2026-01-07 13:30,dashboard,0,
E_004,U_001,zeta@startup.io,api_call,2026-01-06 16:00,api,200,500
E_005,U_001,zeta@startup.io,feature_use,2026-01-06 15:00,analytics,1800,
E_006,U_002,beta@bigcorp.com,login,2026-01-07 09:00,dashboard,0,
E_007,U_002,beta@bigcorp.com,feature_use,2026-01-07 09:15,reports,300,
E_008,U_003,gamma@web3.net,api_call,2026-01-07 11:00,api,150,400
E_009,U_003,gamma@web3.net,login,2026-01-07 10:30,dashboard,0,
E_010,U_003,gamma@web3.net,api_call,2026-01-06 14:00,api,180,500
E_011,U_004,delta@dev.co,login,2026-01-07 08:00,dashboard,0,
E_012,U_004,delta@dev.co,feature_use,2026-01-07 08:30,integrations,2400,
E_013,U_004,delta@dev.co,api_call,2026-01-07 09:00,api,600,
E_014,U_005,epsilon@saas.com,login,2026-01-06 10:00,dashboard,0,
E_015,U_005,epsilon@saas.com,feature_use,2026-01-06 10:30,analytics,600,
E_016,U_007,geo@map.com,login,2026-01-07 11:00,dashboard,0,
E_017,U_007,geo@map.com,feature_use,2026-01-07 11:15,reports,900,
E_018,U_009,iris@eye.com,login,2026-01-07 14:00,dashboard,0,
E_019,U_009,iris@eye.com,feature_use,2026-01-07 14:30,analytics,1500,
E_020,U_009,iris@eye.com,api_call,2026-01-07 15:00,api,300,
E_021,U_011,kyle@run.com,login,2026-01-06 09:00,dashboard,0,
E_022,U_011,kyle@run.com,feature_use,2026-01-06 09:30,reports,1200,
E_023,U_013,mope@sad.com,login,2026-01-05 07:30,dashboard,0,
E_024,U_013,mope@sad.com,feature_use,2026-01-05 08:00,analytics,1800,
E_025,U_014,neo@matrix.io,login,2026-01-07 07:00,dashboard,0,
E_026,U_014,neo@matrix.io,feature_use,2026-01-07 07:30,integrations,3000,
E_027,U_014,neo@matrix.io,api_call,2026-01-07 08:00,api,1200,
E_028,U_015,oscar@wild.org,api_call,2026-01-07 10:00,api,60,500
E_029,U_015,oscar@wild.org,api_call,2026-01-07 09:30,api,45,500
E_030,U_015,oscar@wild.org,login,2026-01-07 09:00,dashboard,0,
E_031,U_015,oscar@wild.org,api_call,2026-01-06 16:00,api,30,500
E_032,U_016,pete@moss.com,login,2026-01-06 14:00,dashboard,0,
E_033,U_016,pete@moss.com,feature_use,2026-01-06 14:30,reports,450,
E_034,U_018,ray@sun.com,login,2026-01-07 10:00,dashboard,0,
E_035,U_018,ray@sun.com,feature_use,2026-01-07 10:30,analytics,1200,
E_036,U_020,tom@jerry.com,login,2026-01-06 11:00,dashboard,0,
E_037,U_020,tom@jerry.com,feature_use,2026-01-06 11:30,reports,720,
