payment_id,user_id,user_email,payment_date,amount,status,plan
P_001,U_001,zeta@startup.io,2026-01-01,499,failed,Pro
P_002,U_001,zeta@startup.io,2025-12-01,499,succeeded,Pro
P_003,U_001,zeta@startup.io,2025-11-01,499,succeeded,Pro
P_004,U_002,beta@bigcorp.com,2026-01-01,2500,succeeded,Enterprise
P_005,U_002,beta@bigcorp.com,2025-12-01,2500,succeeded,Enterprise
P_006,U_003,gamma@web3.net,2026-01-01,499,failed,Pro
P_007,U_003,gamma@web3.net,2025-12-28,499,failed,Pro
P_008,U_003,gamma@web3.net,2025-12-01,499,succeeded,Pro
P_009,U_004,delta@dev.co,2026-01-01,2500,succeeded,Enterprise
P_010,U_004,delta@dev.co,2025-12-01,2500,succeeded,Enterprise
P_011,U_005,epsilon@saas.com,2026-01-01,49,succeeded,Starter
P_012,U_005,epsilon@saas.com,2025-12-01,49,succeeded,Starter
P_013,U_006,fozzy@bear.com,2026-01-01,0,succeeded,Free
P_014,U_007,geo@map.com,2026-01-01,49,succeeded,Starter
P_015,U_007,geo@map.com,2025-12-01,49,succeeded,Starter
P_016,U_008,hugh@large.com,2026-01-01,0,succeeded,Free
P_017,U_009,iris@eye.com,2026-01-01,499,succeeded,Pro
P_018,U_009,iris@eye.com,2025-12-01,499,succeeded,Pro
P_019,U_010,jack@box.com,2026-01-01,0,succeeded,Free
P_020,U_011,kyle@run.com,2026-01-01,49,succeeded,Starter
P_021,U_012,luna@space.com,2026-01-01,0,succeeded,Free
P_022,U_013,mope@sad.com,2026-01-01,49,succeeded,Starter
P_023,U_014,neo@matrix.io,2026-01-01,2500,succeeded,Enterprise
P_024,U_014,neo@matrix.io,2025-12-01,2500,succeeded,Enterprise
P_025,U_015,oscar@wild.org,2026-01-01,499,failed,Pro
P_026,U_015,oscar@wild.org,2025-12-25,499,failed,Pro
P_027,U_015,oscar@wild.org,2025-12-01,499,succeeded,Pro
P_028,U_016,pete@moss.com,2026-01-01,49,succeeded,Starter
P_029,U_017,queen@bee.io,2026-01-01,0,succeeded,Free
P_030,U_018,ray@sun.com,2026-01-01,49,succeeded,Starter
P_031,U_019,stan@marsh.com,2026-01-01,0,succeeded,Free
P_032,U_020,tom@jerry.com,2026-01-01,49,succeeded,Starter
